Price,Date Sold,Suburb,Num Bath,Num Bed,Num Parking,Property Size,Type,Suburb Population,Suburb Median Income,Cash Rate,Property Inflation Index,Km From Cbd,Population (Rounded)*,Median House Price (2020),Median House Price (2021),Percentage Change,Median House Rent (Per Week),Median Apartment Price (2020),Median Apartment Rent (Per Week),Public Housing Percentage,Avg. Years Held,Time To Cbd (Public Transport) [Town Hall St],Time To Cbd (Driving) [Town Hall St]
3100000,2016-02-29,Avalon Beach,3,4,5,1138,House,9905,43628,2.0,150.9,28.35,10000.0,1900000.0,2250000.0,18.42,850.0,790000.0,550.0,0.0,8.6,95.0,55.0
1650000,2016-02-29,Concord,1,2,1,531,House,14533,39052,2.0,150.9,9.6,15000.0,1800000.0,2200000.0,22.22,750.0,995000.0,500.0,3.0,13.5,40.0,30.0
1543000,2016-02-29,Russell Lea,1,3,1,411,House,5001,47684,2.0,150.9,6.33,5250.0,1850000.0,2400000.0,29.73,880.0,810000.0,530.0,5.0,15.7,30.0,15.0
1100000,2016-02-29,Alexandria,1,2,1,112,House,8262,69732,2.0,150.9,5.06,8500.0,1600000.0,1850000.0,15.63,850.0,745000.0,625.0,1.0,12.8,15.0,10.0
755000,2016-02-29,Zetland,1,1,1,59,Apartment,10078,45604,2.0,150.9,4.72,10000.0,1400000.0,1750000.0,25.0,975.0,920000.0,740.0,1.0,16.5,8.0,15.0
850000,2016-03-13,Revesby,1,4,1,313,House,14176,31616,2.0,155.2,20.44,14500.0,940000.0,1100000.0,17.02,590.0,715000.0,475.0,11.0,12.3,30.0,35.0
950000,2016-03-16,Como,1,3,2,588,House,3977,49296,2.0,155.2,20.31,4250.0,1200000.0,1500000.0,25.0,660.0,650000.0,510.0,0.0,16.6,35.0,40.0
785000,2016-03-16,Rosehill,1,3,2,481,House,3806,39624,2.0,155.2,17.06,4000.0,860000.0,950000.0,10.47,500.0,480000.0,410.0,2.0,13.0,45.0,30.0
1620000,2016-03-17,Birchgrove,1,3,1,200,House,3303,78780,2.0,155.2,2.94,3500.0,2100000.0,2800000.0,33.33,950.0,1300000.0,625.0,0.0,11.3,20.0,12.0
1105000,2016-03-17,Mascot,1,3,0,253,House,14772,41912,2.0,155.2,9.35,15000.0,1250000.0,1600000.0,28.0,710.0,815000.0,690.0,2.0,12.0,15.0,20.0
